OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	X	Y	Z	sX	sY	sZ	RMS	Range	Direction	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
20220521-4-NAKED	6	20220521_BOTTOM_4_0002_0001.mp4	15284	20220521_TOP_4_0002_0001.mp4	12576	24.24978	272	1.89439	-964.55261	586.58806	-2593.65163	5.18682	3.39667	13.85865	0.05070	2828.68805	23.59575	Pinguipedidae	Parapercis	nebulosa	37390005	1	AD	Passing			
20220521-4-NAKED	7	20220521_BOTTOM_4_0002_0001.mp4	69245	20220521_TOP_4_0002_0001.mp4	66537	39.25394	244	2.88483	-596.46793	385.63873	-1730.78244	2.22376	1.57650	6.19083	2.93834	1870.85517	22.10691	Pinguipedidae	Parapercis	nebulosa	37390005	1	AD	Passing			
20220521-4-NAKED	8	20220521_BOTTOM_4_0002_0001.mp4	69245	20220521_TOP_4_0002_0001.mp4	66537	39.25394	244	2.88483	-979.13300	-368.38770	-2070.82837	4.51392	1.93802	9.70488	0.44445	2320.07351	26.61965	Pinguipedidae	Parapercis	nebulosa	37390005	1	AD	Passing			
20220521-4-NAKED	9	20220521_BOTTOM_4_0003_0001.mp4	34983	20220521_TOP_4_0003_0001.mp4	32275	49.72718	219	0.93232	-961.16014	370.32272	-3146.01933	6.26414	2.87239	20.27861	2.15866	3310.34822	18.18045	SUS	SUS	SUS	2	1	AD	Passing			
20220521-4-NAKED	10	20220521_BOTTOM_4_0003_0001.mp4	34983	20220521_TOP_4_0003_0001.mp4	32275	49.72718	219	0.93232	-852.27737	-630.01835	-2798.50374	4.97357	3.81294	16.08283	6.14499	2992.47774	20.65864	SUS	SUS	SUS	2	1	AD	Passing			
20220521-4-NAKED	12	20220521_BOTTOM_4_0003_0001.mp4	35777	20220521_TOP_4_0003_0001.mp4	33069	49.94795	219	1.15310	-1623.29141	2166.69124	-4458.12637	14.51850	19.58142	39.99338	2.13936	5215.79492	31.38332	Labridae	Labroides	dimidiatus	37384028	1	AD	Passing			
20220521-4-NAKED	13	20220521_BOTTOM_4_0003_0001.mp4	35777	20220521_TOP_4_0003_0001.mp4	33069	49.94795	219	1.15310	-822.35237	1288.11166	-2556.53890	4.32262	6.75514	13.19877	2.18016	2978.48724	30.98979	Serranidae	Pseudanthias	fasciata	37311116	1	AD	Passing			
20220521-4-NAKED	14	20220521_BOTTOM_4_0003_0001.mp4	35777	20220521_TOP_4_0003_0001.mp4	33069	49.94795	219	1.15310	-1048.91343	1861.87807	-3224.13336	6.79896	12.07702	20.75925	2.00656	3868.05445	33.66100	Serranidae	Pseudanthias	fasciata	37311116	2	AD	Passing			
20220521-4-NAKED	15	20220521_BOTTOM_4_0003_0001.mp4	35777	20220521_TOP_4_0003_0001.mp4	33069	49.94795	219	1.15310	-1869.26518	3091.55168	-5241.57416	19.35701	32.27252	54.49206	9.36169	6365.99904	34.69811	Serranidae	Pseudanthias	fasciata	37311116	1	AD	Passing			
20220521-4-NAKED	16	20220521_BOTTOM_4_0003_0001.mp4	35777	20220521_TOP_4_0003_0001.mp4	33069	49.94795	219	1.15310	-2142.73864	3610.24184	-5968.46229	25.16673	42.74884	70.41209	13.53151	7297.10334	35.24498	Serranidae	Pseudanthias	fasciata	37311116	1	AD	Passing			
20220521-4-NAKED	17	20220521_BOTTOM_4_0004_0001.mp4	7614	20220521_TOP_4_0004_0001.mp4	4906	62.11706	259	0.15071	-540.15150	1074.96504	-2004.92756	2.31723	4.35788	8.11035	1.70813	2338.17194	30.62456	Pinguipedidae	Parapercis	nebulosa	37390005	1	AD	Passing			
20220521-4-NAKED	18	20220521_BOTTOM_4_0004_0001.mp4	8345	20220521_TOP_4_0004_0001.mp4	5637	62.32031	259	0.35396	-50.77701	-3465.74020	-5608.14446	2.70528	37.89963	60.48041	3.25852	6592.81562	32.10023	Unknown	Unknown	Unknown	0	1	AD	Passing			
20220521-4-NAKED	19	20220521_BOTTOM_4_0004_0001.mp4	9040	20220521_TOP_4_0004_0001.mp4	6332	62.51356	259	0.54721	184.59292	-430.14257	-4837.03252	2.89415	4.96691	45.88890	0.69810	4859.62764	5.88038	Lethrinidae	Gymnocranius	sp1		1	AD	Passing			
20220521-4-NAKED	20	20220521_BOTTOM_4_0004_0001.mp4	12085	20220521_TOP_4_0004_0001.mp4	9377	63.36024	259	1.39389	-525.14451	-1973.13175	-3142.45713	3.53584	12.37237	19.36576	2.41497	3747.54086	33.38331	Serranidae	Epinephelus	spp		1	AD	Passing			
20220523-1-NAKED	3	20220523_BOTTOM_1_0002_0001.mp4	67731	20220523_TOP_1_0003_0001.mp4	32680	38.83296	274	1.39445	-160.57408	437.15024	-1153.43245	0.66324	1.16314	2.70382	10.18353	1243.90144	22.12031	Lethrinidae	Lethrinus	miniatus	37351009	1	AD	Passing			
20220523-2-NAKED	0	20220523_BOTTOM_2_0002_0001.mp4	30120	20220523_TOP_2_0002_0001.mp4	34652	28.37501	214	1.00934	-552.64916	-52.79513	-2010.69634	2.41806	1.00662	8.30123	2.57866	2085.93101	15.42461	Pinguipedidae	Parapercis	nebulosa	37390005	1	AD	Passing			
20220523-2-NAKED	1	20220523_BOTTOM_2_0003_0001.mp4	20943	20220523_TOP_2_0003_0001.mp4	25475	45.82328	256	1.31270	-32.10652	-625.85533	-5443.07287	2.64593	7.10447	58.60628	0.03375	5479.02984	6.45270	Pomacanthidae	Pomacanthus	semicirculatus	37365080	1	AD	Passing			
20220523-2-NAKED	3	20220523_BOTTOM_2_0003_0001.mp4	25186	20220523_TOP_2_0003_0001.mp4	29718	47.00307	256	2.49249	475.47562	-2352.96951	-4962.67245	5.06734	22.66897	47.97608	2.34995	5512.77248	25.70096	Pinguipedidae	Parapercis	nebulosa	37390005	1	AD	Passing			
