OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
12	25	0	1351.66563	663.20399	1127.17280	671.03991
12	25	1	1504.97817	815.86475	1274.49657	824.29933
12	26	0	161.69682	642.09091	4.19214	654.29933
12	26	1	382.08359	590.00665	242.54523	598.62306
12	27	0	840.40424	600.57871	624.18029	607.51885
12	27	1	532.58141	614.94678	309.76981	624.28160
13	0	0	71.86525	689.66741	275.48347	710.02217
13	1	0	164.09233	684.87805	322.19588	705.23282
13	2	0	213.20025	669.31264	370.10605	692.06208
13	3	0	50.90455	605.82927	180.86089	644.16851
13	4	0	27.54835	677.07095	165.29008	699.24612
13	5	0	1128.28447	456.18625	1234.88459	422.66075
13	6	0	783.60000	534.00000	948.00000	534.00000
13	7	0	798.00000	477.60000	966.00000	476.40000
13	8	0	521.80483	535.97015	705.14166	554.10448
13	9	0	308.40000	516.00000	505.20000	544.80000
13	10	0	150.00000	469.00000	278.80000	510.00000
13	10	1	450.00000	448.00000	548.80000	473.40000
13	11	0	373.20000	428.40000	531.60000	463.20000
13	12	0	1157.40000	266.40000	1025.40000	236.40000
13	12	1	733.20000	229.80000	626.40000	244.20000
13	13	0	1030.67249	442.59202	951.21210	426.08426
13	13	1	940.24205	452.76940	861.38054	445.24169
13	14	0	542.58266	730.78936	522.22084	729.73171
13	14	1	331.17904	721.21064	348.54648	734.52106
13	15	0	1511.56581	130.50998	1464.85340	74.23503
13	16	0	422.40000	509.00000	552.60000	525.20000
13	16	1	306.00000	495.20000	447.00000	524.60000
13	17	0	239.40000	237.60000	394.80000	290.40000
13	18	0	1672.19307	449.32836	1829.33893	370.74627
13	19	0	761.51485	438.69307	863.50495	432.89109
13	20	0	58.80000	412.60000	86.40000	472.80000
13	20	1	466.20000	378.40000	437.40000	413.40000
13	21	0	1288.80000	579.00000	1315.80000	539.80000
13	21	1	1567.20000	562.20000	1573.80000	508.00000
13	22	0	669.80000	498.60000	451.40000	515.60000
13	22	1	1194.80000	502.80000	903.20000	483.20000
13	23	0	198.00000	505.20000	327.60000	550.80000
14	0	0	1911.94124	860.44030	1802.14061	743.84328
14	0	1	1486.84155	761.70896	1434.45960	686.41791
14	1	0	754.32854	904.99445	371.76765	924.17314
14	1	1	1662.16115	967.32519	1200.44972	904.99445
14	2	0	52.76702	605.91898	10.19363	681.41176
14	2	1	369.36914	563.96559	329.19425	607.69367
14	3	0	287.82011	666.01776	37.17676	734.30855
14	3	1	816.08994	610.87902	513.27920	619.83574
14	4	0	149.90631	492.89234	5.99625	573.64040
14	4	1	519.87508	464.12431	370.56839	505.91565
14	5	0	1020.06496	558.30633	1078.27920	510.91565
14	5	1	885.74891	564.29967	956.55528	537.88568
14	6	0	847.99875	688.28635	569.60212	688.07103
14	6	1	1274.33229	711.06104	910.78888	667.09434
14	7	0	271.03061	897.80244	123.52280	922.97447
14	8	0	1146.48345	659.26748	856.26483	608.92342
14	9	0	1421.47908	409.49501	1372.17614	302.53496
14	9	1	827.25047	441.25971	804.93067	421.20311
14	10	0	1723.32292	403.71032	1731.71768	246.33296
14	10	1	1199.85009	463.64373	1186.65834	383.58047
14	11	0	173.89132	530.24972	234.37976	579.43507
14	11	1	810.09369	524.85572	765.64772	508.71365
14	12	0	546.83136	305.53829	593.08307	326.51498
14	12	1	932.99001	380.45505	981.64022	348.69034
15	0	0	215.62145	592.06278	6.05678	600.53812
15	0	1	844.31546	651.39013	604.46688	642.91480
15	1	0	220.46688	450.40359	3.63407	464.93274
15	1	1	690.47319	360.80717	523.30599	366.86099
15	2	0	1746.77603	673.69955	1705.58991	650.19283
15	2	1	1836.41640	687.01794	1793.41325	665.32735
15	3	0	856.42902	284.52915	944.85804	293.00448
15	3	1	587.50789	316.00897	685.62776	340.22422
15	4	0	1592.93375	487.93722	1494.81388	451.61435
15	4	1	1356.71924	507.30942	1277.98107	481.88341
15	5	0	1032.07571	658.65471	890.34700	652.60090
15	5	1	1305.84227	647.75785	1150.78864	628.38565
15	6	0	1000.58044	234.88789	719.54574	222.78027
15	6	1	1340.97161	433.45291	1055.09148	401.97309
15	7	0	207.14196	722.82511	1.21136	721.61435
15	7	1	440.93375	719.19283	305.26183	719.19283
15	8	0	1866.70032	548.47534	1812.18927	500.04484
15	8	1	1453.62776	507.30942	1399.11672	487.93722
15	9	0	1074.47319	543.63229	1078.10726	541.21076
15	9	1	897.61514	565.42601	900.03785	566.63677
15	10	0	1477.85489	694.97758	1563.86120	691.34529
