"campaignid","sample","filename","periodtime","family","genus","species","maxn","latitude","longitude","date","location","status","depth","successful.count","successful.length"
"2020-10_south-west_BOSS","235","20201031_0704-0744_top_0002.avi","0.31532","Pomacentridae","Chromis","klunzingeri",9,"-34.0912","114.9364","20201031",NA,NA,"47","Yes",NA
"2020-10_south-west_BOSS","235","20201031_0704-0744_top_0002.avi","2.54143","Pomacentridae","Parma","bicolor",1,"-34.0912","114.9364","20201031",NA,NA,"47","Yes",NA
"2020-10_south-west_BOSS","235","20201031_0704-0744_top_0002.avi","2.04593","Scorpididae","Neatypus","obliquus",13,"-34.0912","114.9364","20201031",NA,NA,"47","Yes",NA
"2020-10_south-west_BOSS","235","20201031_0704-0744_top_0002.avi","2.92514","Scorpididae","Scorpis","aequipinnis",2,"-34.0912","114.9364","20201031",NA,NA,"47","Yes",NA
"2020-10_south-west_BOSS","235","20201031_0704-0744_top_0002.avi","2.99855","Serranidae","Caesioperca","spp",4,"-34.0912","114.9364","20201031",NA,NA,"47","Yes",NA
"2020-10_south-west_BOSS","241","20201108_1136-1340_TOP_0006.avi","2.20887","Labridae","Austrolabrus","maculatus",1,"-33.9937","114.7914","20201108",NA,NA,"51.3","Yes",NA
"2020-10_south-west_BOSS","241","20201108_1136-1340_TOP_0006.avi","0.60672","Labridae","Coris","auricularis",9,"-33.9937","114.7914","20201108",NA,NA,"51.3","Yes",NA
"2020-10_south-west_BOSS","241","20201108_1136-1340_TOP_0006.avi","2.06929","Labridae","Ophthalmolepis","lineolatus",1,"-33.9937","114.7914","20201108",NA,NA,"51.3","Yes",NA
"2020-10_south-west_BOSS","241","20201108_1136-1340_TOP_0006.avi","2.76220","Labridae","Pseudolabrus","biserialis",3,"-33.9937","114.7914","20201108",NA,NA,"51.3","Yes",NA
"2020-10_south-west_BOSS","241","20201108_1136-1340_TOP_0006.avi","0.34145","Mullidae","Parupeneus","chrysopleuron",1,"-33.9937","114.7914","20201108",NA,NA,"51.3","Yes",NA
"2020-10_south-west_BOSS","241","20201108_1136-1340_TOP_0006.avi","1.03826","Scorpididae","Neatypus","obliquus",2,"-33.9937","114.7914","20201108",NA,NA,"51.3","Yes",NA
"2020-10_south-west_BOSS","241","20201108_1136-1340_TOP_0006.avi","2.99299","Serranidae","Caesioperca","spp",3,"-33.9937","114.7914","20201108",NA,NA,"51.3","Yes",NA
"2020-10_south-west_BOSS","247","20201107_1030-1330_TOP_0006.avi","1.23179","Monacanthidae","Nelusetta","ayraud",1,"-34.0337","114.4789","20201107",NA,NA,"197","Yes",NA
"2020-10_south-west_BOSS","247","20201107_1030-1330_TOP_0006.avi","1.50873","Serranidae","Caesioperca","spp",1,"-34.0337","114.4789","20201107",NA,NA,"197","Yes",NA
"2020-10_south-west_BOSS","247","20201107_1030-1330_TOP_0006.avi","0.22300","SUS","SUS","SUS",1,"-34.0337","114.4789","20201107",NA,NA,"197","Yes",NA
"2020-10_south-west_BOSS","248","20201107_1030-1330_TOP_0005.avi","1.98031","Callanthiidae","Callanthias","australis",1,"-34.0362","114.4889","20201107",NA,NA,"154","Yes",NA
"2020-10_south-west_BOSS","248","20201107_1030-1330_TOP_0005.avi","2.74163","Gerreidae","Parequula","elongata",2,"-34.0362","114.4889","20201107",NA,NA,"154","Yes",NA
"2020-10_south-west_BOSS","248","20201107_1030-1330_TOP_0005.avi","2.15882","Labridae","Bodianus","vulpinus",1,"-34.0362","114.4889","20201107",NA,NA,"154","Yes",NA
"2020-10_south-west_BOSS","248","20201107_1030-1330_TOP_0005.avi","1.55767","Serranidae","Caesioperca","spp",1,"-34.0362","114.4889","20201107",NA,NA,"154","Yes",NA
"2020-10_south-west_BOSS","248","20201107_1030-1330_TOP_0005.avi","1.55767","SUS","SUS","SUS",1,"-34.0362","114.4889","20201107",NA,NA,"154","Yes",NA
"2020-10_south-west_BOSS","250","20201111_1042-1440_TOP_0009.avi","1.80124","Monacanthidae","Nelusetta","ayraud",1,"-34.0137","114.6939","20201111",NA,NA,"130","Yes",NA
"2020-10_south-west_BOSS","251","20201111_1042-1440_TOP_0010.avi","1.70003","SUS","SUS","SUS",1,"-34.0112","114.6989","20201111",NA,NA,"128","Yes",NA
"2020-10_south-west_BOSS","253","20201111_1042-1440_TOP_0010.avi","0.96930","Neosebastidae","Neosebastes","pandus",1,"-34.0137","114.7039","20201111",NA,NA,"125","Yes",NA
"2020-10_south-west_BOSS","254","20201111_1042-1440_TOP_0009.avi","2.31732","Monacanthidae","Nelusetta","ayraud",2,"-34.0187","114.6964","20201111",NA,NA,"128","Yes",NA
"2020-10_south-west_BOSS","254","20201111_1042-1440_TOP_0009.avi","0.56167","Oplegnathidae","Oplegnathus","woodwardi",1,"-34.0187","114.6964","20201111",NA,NA,"128","Yes",NA
"2020-10_south-west_BOSS","266","20201108_1136-1340_TOP_0002.avi","0.51718","Diodontidae","Diodon","nicthemerus",1,"-34.0212","114.7589","20201108",NA,NA,"67.3","Yes",NA
"2020-10_south-west_BOSS","266","20201108_1136-1340_TOP_0002.avi","0.54276","Labridae","Coris","auricularis",2,"-34.0212","114.7589","20201108",NA,NA,"67.3","Yes",NA
"2020-10_south-west_BOSS","266","20201108_1136-1340_TOP_0002.avi","2.85285","Labridae","Suezichthys","bifurcatus",3,"-34.0212","114.7589","20201108",NA,NA,"67.3","Yes",NA
"2020-10_south-west_BOSS","267","20201108_1136-1340_TOP_0002.avi","1.61495","Berycidae","Centroberyx","sp1",51,"-34.0262","114.7639","20201108",NA,NA,"62.7","Yes",NA
"2020-10_south-west_BOSS","267","20201108_1136-1340_TOP_0002.avi","2.36570","Cheilodactylidae","Nemadactylus","valenciennesi",1,"-34.0262","114.7639","20201108",NA,NA,"62.7","Yes",NA
"2020-10_south-west_BOSS","267","20201108_1136-1340_TOP_0002.avi","2.99966","Labridae","Coris","auricularis",4,"-34.0262","114.7639","20201108",NA,NA,"62.7","Yes",NA
"2020-10_south-west_BOSS","267","20201108_1136-1340_TOP_0002.avi","2.43966","Labridae","Suezichthys","bifurcatus",1,"-34.0262","114.7639","20201108",NA,NA,"62.7","Yes",NA
