"campaignid","sample","dataset","planned.or.exploratory","latitude","longitude","date","time","location","site","depth","observer","successful.count","successful.length","raw.hdd.number","con.hdd.number","method","commonwealth.zone","state.zone","status"
"2020-10_south-west_stereo-BRUVs","FH67","FH","MBH",-33.88868897,114.9238721,"20201029","15:00:00","South-west","C.FH.17",46.1,"Rachel","Yes","Yes","RAW4","CON3","BRUV",NA,NA,"Fished"
"2020-10_south-west_stereo-BRUVs","FH68","FH","MBH",-33.95118897,114.8288721,"20201013","10:01:00","South-west","C.FH.22",44.5,"Rachel","Yes","Yes","RAW2","CON1/CON2","BRUV","Special Purpose Zone (Mining Exclusion)",NA,"Fished"
"2020-10_south-west_stereo-BRUVs","FH69","FH","MBH",-33.69618897,114.8038721,"20201012","10:43:00","South-west","C.FH.4",46.9,"Ramesh","Yes","Yes","RAW2","CON1/CON2","BRUV","Special Purpose Zone (Mining Exclusion)",NA,"Fished"
"2020-10_south-west_stereo-BRUVs","FH7","FH","MBH",-33.78368897,114.8788721,"20201017","11:45:00","South-west","C.FH.11",45,"Daphne","Yes","Yes","RAW1","BU1","BRUV","Special Purpose Zone (Mining Exclusion)",NA,"Fished"
"2020-10_south-west_stereo-BRUVs","FH70","FH","MBH",-33.67368897,114.8463721,"20201012","8:07:00","South-west","C.FH.1",48.6,"Daphne","Yes","Yes","RAW2","CON1/CON2","BRUV","Special Purpose Zone (Mining Exclusion)",NA,"Fished"
"2020-10_south-west_stereo-BRUVs","FH71","FH","MBH",-33.88368897,114.8188721,"20201013","7:30:00","South-west","C.FH.16",45.3,"Daphne","Yes","Yes","RAW2",NA,"BRUV","Special Purpose Zone (Mining Exclusion)",NA,"Fished"
"2020-10_south-west_stereo-BRUVs","FH72","FH","MBH",-33.88868897,114.9288721,"20201029","15:06:00","South-west","C.FH.17",44.1,"Rachel","Yes","Yes","RAW4","CON3","BRUV",NA,NA,"Fished"
"2020-10_south-west_stereo-BRUVs","FH74","FH","MBH",-33.73118897,114.8063721,"20201012","12:47:00","South-west","C.FH.7",44.9,"Daphne","Yes","Yes","RAW2","CON1/CON2","BRUV","Special Purpose Zone (Mining Exclusion)",NA,"Fished"
"2020-10_south-west_stereo-BRUVs","FH77","FH","MBH",-33.99618897,114.8763721,"20201013","12:42:00","South-west","C.FH.24",42,"Daphne","Yes","No","RAW2","CON1/CON2","BRUV","Special Purpose Zone (Mining Exclusion)",NA,"Fished"
"2020-10_south-west_stereo-BRUVs","FH78","FH","MBH",-33.89118897,114.9163721,"20201029","14:56:00","South-west","C.FH.17",45.8,"Rachel","Yes","Yes","RAW4","CON3","BRUV","Special Purpose Zone (Mining Exclusion)",NA,"Fished"
"2020-10_south-west_stereo-BRUVs","FH79","FH","MBH",-33.88618897,114.8088721,"20201013","7:43:00","South-west","C.FH.16",44.9,"Daphne","Yes","Yes","RAW2",NA,"BRUV","Special Purpose Zone (Mining Exclusion)",NA,"Fished"
"2020-10_south-west_stereo-BRUVs","FH8","FH","MBH",-33.72368897,114.8013721,"20201012","12:34:00","South-west","C.FH.7",43.9,"Daphne","Yes","Yes","RAW2",NA,"BRUV","Special Purpose Zone (Mining Exclusion)",NA,"Fished"
"2020-10_south-west_stereo-BRUVs","FH82","FH","MBH",-33.68618897,114.9238721,"20201017","6:46:00","South-west","C.FH.3",44.8,"Daphne","Yes","Yes","RAW1",NA,"BRUV",NA,"Injidup Sanctuary Zone","No-take"
"2020-10_south-west_stereo-BRUVs","FH83","FH","MBH",-33.91118897,114.8463721,"20201013","8:13:00","South-west","C.FH.19",40.9,"Daphne","Yes","Yes","RAW2",NA,"BRUV","Special Purpose Zone (Mining Exclusion)",NA,"Fished"
"2020-10_south-west_stereo-BRUVs","FH84","FH","MBH",-33.73368897,114.7988721,"20201012","12:50:00","South-west","C.FH.7",45.6,"Daphne","Yes","Yes","RAW2",NA,"BRUV","Special Purpose Zone (Mining Exclusion)",NA,"Fished"
"2020-10_south-west_stereo-BRUVs","FH85","FH","MBH",-33.92618897,114.9138721,"20201029","12:55:00","South-west","C.FH.20",44.7,"Daphne","Yes","Yes","RAW4",NA,"BRUV","Special Purpose Zone (Mining Exclusion)",NA,"Fished"
"2020-10_south-west_stereo-BRUVs","FH87","FH","MBH",-33.92868897,114.8938721,"20201029","12:36:00","South-west","C.FH.21",43.8,"Rachel","Yes","Yes","RAW4","CON3","BRUV","Special Purpose Zone (Mining Exclusion)",NA,"Fished"
