GAB,unique_id,scientific,maxn,family,genus,species,campaignid,sample,latitude,longitude,date,time,location,status,site,depth,observer.count,successful.count,successful.length,method
64,2021-05_PtCloates_BRUVS_25,Carangidae Carangoides chrysophrys,1,Carangidae,Carangoides,chrysophrys,2021-05_PtCloates_BRUVS,25,-22.7937,113.4939,20210518,12:11:00,Point Cloates,Fished,outNP.13,135,Charlotte Aston,Yes,Yes,BRUV
67,2021-05_PtCloates_BRUVS_6,Carangidae Carangoides chrysophrys,1,Carangidae,Carangoides,chrysophrys,2021-05_PtCloates_BRUVS,6,-22.721,113.5465,20210518,14:41:00,Point Cloates,No-take,inNP.6,88.5,Charlotte Aston,Yes,Yes,BRUV
68,2021-05_PtCloates_BRUVS_7,Carangidae Carangoides chrysophrys,1,Carangidae,Carangoides,chrysophrys,2021-05_PtCloates_BRUVS,7,-22.7287,113.5365,20210518,12:57:00,Point Cloates,No-take,inNP.7,100,Charlotte Aston,Yes,Yes,BRUV
70,2022-05_PtCloates_stereo-BRUVS_14,Carangidae Carangoides chrysophrys,1,Carangidae,Carangoides,chrysophrys,2022-05_PtCloates_stereo-BRUVS,14,-22.6876,113.5568,20220526,8:48:10,NA,NA,NA,90.5,Kaitlin McCloghry,Yes,Yes,BRUV
71,2022-05_PtCloates_stereo-BRUVS_15,Carangidae Carangoides chrysophrys,1,Carangidae,Carangoides,chrysophrys,2022-05_PtCloates_stereo-BRUVS,15,-22.6977,113.5561,20220522,12:55:29,NA,NA,NA,83.9,Kaitlin McCloghry,Yes,Yes,BRUV
72,2022-05_PtCloates_stereo-BRUVS_16,Carangidae Carangoides chrysophrys,1,Carangidae,Carangoides,chrysophrys,2022-05_PtCloates_stereo-BRUVS,16,-22.7406,113.5395,20220520,14:06:11,NA,NA,NA,93.2,Henry Evans,Yes,Yes,BRUV
74,2022-05_PtCloates_stereo-BRUVS_19,Carangidae Carangoides chrysophrys,1,Carangidae,Carangoides,chrysophrys,2022-05_PtCloates_stereo-BRUVS,19,-22.6847,113.5669,20220526,8:33:41,NA,NA,NA,76.4,Kaitlin McCloghry,Yes,Yes,BRUV
75,2022-05_PtCloates_stereo-BRUVS_2,Carangidae Carangoides chrysophrys,1,Carangidae,Carangoides,chrysophrys,2022-05_PtCloates_stereo-BRUVS,2,-22.6957,113.5628,20220522,14:16:25,NA,NA,NA,77.3,Kaitlin McCloghry,Yes,Yes,BRUV
76,2022-05_PtCloates_stereo-BRUVS_20,Carangidae Carangoides chrysophrys,1,Carangidae,Carangoides,chrysophrys,2022-05_PtCloates_stereo-BRUVS,20,-22.7212,113.5561,20220522,8:44:53,NA,NA,NA,76,Henry Evans,Yes,Yes,BRUV
79,2022-05_PtCloates_stereo-BRUVS_24,Carangidae Carangoides chrysophrys,1,Carangidae,Carangoides,chrysophrys,2022-05_PtCloates_stereo-BRUVS,24,-22.7426,113.5507,20220520,12:42:58,NA,NA,NA,79.3,Kaitlin McCloghry,Yes,Yes,BRUV
80,2022-05_PtCloates_stereo-BRUVS_26,Carangidae Carangoides chrysophrys,1,Carangidae,Carangoides,chrysophrys,2022-05_PtCloates_stereo-BRUVS,26,-22.7615,113.5484,20220520,9:08:31,NA,NA,NA,77.2,Kaitlin McCloghry,Yes,Yes,BRUV
81,2022-05_PtCloates_stereo-BRUVS_28,Carangidae Carangoides chrysophrys,1,Carangidae,Carangoides,chrysophrys,2022-05_PtCloates_stereo-BRUVS,28,-22.6987,113.5625,20220522,13:05:17,NA,NA,NA,76.3,Kaitlin McCloghry,Yes,Yes,BRUV
82,2022-05_PtCloates_stereo-BRUVS_30,Carangidae Carangoides chrysophrys,1,Carangidae,Carangoides,chrysophrys,2022-05_PtCloates_stereo-BRUVS,30,-22.7058,113.5588,20220522,10:47:54,NA,NA,NA,78.5,Kaitlin McCloghry,Yes,Yes,BRUV
83,2022-05_PtCloates_stereo-BRUVS_31,Carangidae Carangoides chrysophrys,1,Carangidae,Carangoides,chrysophrys,2022-05_PtCloates_stereo-BRUVS,31,-22.7542,113.5424,20220520,10:27:48,NA,NA,NA,82.3,Kaitlin McCloghry,Yes,Yes,BRUV
84,2022-05_PtCloates_stereo-BRUVS_32,Carangidae Carangoides chrysophrys,1,Carangidae,Carangoides,chrysophrys,2022-05_PtCloates_stereo-BRUVS,32,-22.7239,113.5552,20220522,8:39:35,NA,NA,NA,78.3,Henry Evans,Yes,Yes,BRUV
85,2022-05_PtCloates_stereo-BRUVS_34,Carangidae Carangoides chrysophrys,1,Carangidae,Carangoides,chrysophrys,2022-05_PtCloates_stereo-BRUVS,34,-22.6928,113.5645,20220522,14:38:27,NA,NA,NA,76.4,Kaitlin McCloghry,Yes,Yes,BRUV
89,2022-05_PtCloates_stereo-BRUVS_39,Carangidae Carangoides chrysophrys,1,Carangidae,Carangoides,chrysophrys,2022-05_PtCloates_stereo-BRUVS,39,-22.7105,113.5539,20220522,10:35:24,NA,NA,NA,78.9,Kaitlin McCloghry,Yes,Yes,BRUV
90,2022-05_PtCloates_stereo-BRUVS_40,Carangidae Carangoides chrysophrys,1,Carangidae,Carangoides,chrysophrys,2022-05_PtCloates_stereo-BRUVS,40,-22.7522,113.5444,20220520,11:58:07,NA,NA,NA,84.1,Henry Evans,Yes,Yes,BRUV
91,2022-05_PtCloates_stereo-BRUVS_42,Carangidae Carangoides chrysophrys,1,Carangidae,Carangoides,chrysophrys,2022-05_PtCloates_stereo-BRUVS,42,-22.6952,113.5537,20220522,12:51:14,NA,NA,NA,92.3,Kaitlin McCloghry,Yes,Yes,BRUV
