sample,scientific,maxn,family,genus,species,campaignid,latitude,longitude,date.time,location,status,depth,successful.count,successful.length,id
245,Apogonidae Apogon sp1,0,Apogonidae,Apogon,sp1,2022-05_PtCloates_Naked-BOSS,-22.7436,113.5519,21/05/2022 6:57,Point Cloates,No-take,75.8,Yes,Yes,2022-05_PtCloates_Naked-BOSS.245
246,Apogonidae Apogon sp1,0,Apogonidae,Apogon,sp1,2022-05_PtCloates_Naked-BOSS,-22.6891,113.5588,26/05/2022 7:52,Point Cloates,No-take,84.3,Yes,Yes,2022-05_PtCloates_Naked-BOSS.246
247,Apogonidae Apogon sp1,0,Apogonidae,Apogon,sp1,2022-05_PtCloates_Naked-BOSS,-22.7047,113.5467,25/05/2022 7:26,Point Cloates,No-take,96.4,Yes,No,2022-05_PtCloates_Naked-BOSS.247
248,Apogonidae Apogon sp1,0,Apogonidae,Apogon,sp1,2022-05_PtCloates_Naked-BOSS,-22.7609,113.5473,19/05/2022 0:27,Point Cloates,No-take,76.6,Yes,Yes,2022-05_PtCloates_Naked-BOSS.248
249,Apogonidae Apogon sp1,0,Apogonidae,Apogon,sp1,2022-05_PtCloates_Naked-BOSS,-22.7248,113.5444,25/05/2022 4:07,Point Cloates,No-take,92.3,Yes,Yes,2022-05_PtCloates_Naked-BOSS.249
25,Apogonidae Apogon sp1,0,Apogonidae,Apogon,sp1,2021-05_PtCloates_BOSS,-22.7262,113.4913,20/05/2021 1:21,Point Cloates,Fished,208,Yes,Yes,2021-05_PtCloates_BOSS.25
250,Apogonidae Apogon sp1,0,Apogonidae,Apogon,sp1,2022-05_PtCloates_Naked-BOSS,-22.6972,113.5605,26/05/2022 6:06,Point Cloates,No-take,78.1,Yes,Yes,2022-05_PtCloates_Naked-BOSS.250
251,Apogonidae Apogon sp1,0,Apogonidae,Apogon,sp1,2022-05_PtCloates_Naked-BOSS,-22.7277,113.554,23/05/2022 2:37,Point Cloates,No-take,76.4,Yes,Yes,2022-05_PtCloates_Naked-BOSS.251
252,Apogonidae Apogon sp1,0,Apogonidae,Apogon,sp1,2022-05_PtCloates_Naked-BOSS,-22.7054,113.5576,25/05/2022 6:49,Point Cloates,No-take,79.3,Yes,Yes,2022-05_PtCloates_Naked-BOSS.252
253,Apogonidae Apogon sp1,0,Apogonidae,Apogon,sp1,2022-05_PtCloates_Naked-BOSS,-22.7509,113.538,19/05/2022 3:26,Point Cloates,No-take,91.2,Yes,Yes,2022-05_PtCloates_Naked-BOSS.253
254,Apogonidae Apogon sp1,0,Apogonidae,Apogon,sp1,2022-05_PtCloates_Naked-BOSS,-22.6993,113.5499,25/05/2022 7:40,Point Cloates,No-take,96,Yes,Yes,2022-05_PtCloates_Naked-BOSS.254
255,Apogonidae Apogon sp1,0,Apogonidae,Apogon,sp1,2022-05_PtCloates_Naked-BOSS,-22.7444,113.5428,21/05/2022 5:59,Point Cloates,No-take,87.3,Yes,Yes,2022-05_PtCloates_Naked-BOSS.255
256,Apogonidae Apogon sp1,0,Apogonidae,Apogon,sp1,2022-05_PtCloates_Naked-BOSS,-22.7326,113.5465,23/05/2022 2:09,Point Cloates,No-take,86.1,Yes,Yes,2022-05_PtCloates_Naked-BOSS.256
257,Apogonidae Apogon sp1,0,Apogonidae,Apogon,sp1,2022-05_PtCloates_Naked-BOSS,-22.7001,113.5592,25/05/2022 8:18,Point Cloates,No-take,79.4,Yes,Yes,2022-05_PtCloates_Naked-BOSS.257
258,Apogonidae Apogon sp1,0,Apogonidae,Apogon,sp1,2022-05_PtCloates_Naked-BOSS,-22.6958,113.5593,26/05/2022 6:20,Point Cloates,No-take,79.6,Yes,Yes,2022-05_PtCloates_Naked-BOSS.258
259,Apogonidae Apogon sp1,0,Apogonidae,Apogon,sp1,2022-05_PtCloates_Naked-BOSS,-22.7312,113.5443,21/05/2022 8:24,Point Cloates,No-take,88.9,Yes,Yes,2022-05_PtCloates_Naked-BOSS.259
26,Apogonidae Apogon sp1,0,Apogonidae,Apogon,sp1,2021-05_PtCloates_BOSS,-22.7388,113.5089,20/05/2021 1:03,Point Cloates,Fished,152,Yes,Yes,2021-05_PtCloates_BOSS.26
260,Apogonidae Apogon sp1,0,Apogonidae,Apogon,sp1,2022-05_PtCloates_Naked-BOSS,-22.7177,113.5525,25/05/2022 5:53,Point Cloates,No-take,83.6,Yes,Yes,2022-05_PtCloates_Naked-BOSS.260
