"unique_id","campaignid","sample","family","genus","species","length","number","range","latitude","longitude","date","time","location","status","site","depth","observer.count","successful.count","successful.length"
"2021-05_PtCloates_BRUVS_1","2021-05_PtCloates_BRUVS","1","Muraenidae","Gymnothorax","berndti",NA,0,NA,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"NA","Yes","Yes"
"2021-05_PtCloates_BRUVS_1","2021-05_PtCloates_BRUVS","1","Muraenidae","Gymnothorax","javanicus",590.78663,1,1677.11347,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"NA","Yes","Yes"
"2021-05_PtCloates_BRUVS_1","2021-05_PtCloates_BRUVS","1","Muraenidae","Gymnothorax","pseudothyrsoideus",NA,0,NA,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"NA","Yes","Yes"
"2021-05_PtCloates_BRUVS_1","2021-05_PtCloates_BRUVS","1","Muraenidae","Gymnothorax","sp1",NA,0,NA,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"NA","Yes","Yes"
"2021-05_PtCloates_BRUVS_1","2021-05_PtCloates_BRUVS","1","Nemipteridae","Nemipterus","spp",NA,0,NA,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"NA","Yes","Yes"
"2021-05_PtCloates_BRUVS_1","2021-05_PtCloates_BRUVS","1","Nemipteridae","Nemipterus","virgatus",NA,0,NA,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"NA","Yes","Yes"
"2021-05_PtCloates_BRUVS_1","2021-05_PtCloates_BRUVS","1","Nemipteridae","Parascolopsis","akatamae",229.23818,1,2343.977,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"NA","Yes","Yes"
"2021-05_PtCloates_BRUVS_1","2021-05_PtCloates_BRUVS","1","Nemipteridae","Parascolopsis","akatamae",199.58935,1,3243.94316,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"NA","Yes","Yes"
"2021-05_PtCloates_BRUVS_1","2021-05_PtCloates_BRUVS","1","Nemipteridae","Parascolopsis","akatamae",344.94651,1,3545.005,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"NA","Yes","Yes"
"2021-05_PtCloates_BRUVS_1","2021-05_PtCloates_BRUVS","1","Nemipteridae","Parascolopsis","akatamae",206.31641,1,2761.74289,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"NA","Yes","Yes"
"2021-05_PtCloates_BRUVS_1","2021-05_PtCloates_BRUVS","1","Nemipteridae","Parascolopsis","akatamae",187.64946,1,2964.55355,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"NA","Yes","Yes"
"2021-05_PtCloates_BRUVS_1","2021-05_PtCloates_BRUVS","1","Nemipteridae","Parascolopsis","akatamae",NA,1,3405.85404,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"NA","Yes","Yes"
"2021-05_PtCloates_BRUVS_1","2021-05_PtCloates_BRUVS","1","Nemipteridae","Parascolopsis","inermis",NA,0,NA,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"NA","Yes","Yes"
"2021-05_PtCloates_BRUVS_1","2021-05_PtCloates_BRUVS","1","Nemipteridae","Pentapodus","nagasakiensis",NA,0,NA,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"NA","Yes","Yes"
"2021-05_PtCloates_BRUVS_1","2021-05_PtCloates_BRUVS","1","Nemipteridae","Pentapodus","spp",NA,0,NA,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"NA","Yes","Yes"
"2021-05_PtCloates_BRUVS_1","2021-05_PtCloates_BRUVS","1","Nemipteridae","Pentapodus","vitta",NA,0,NA,-22.696,113.5315,20210518,14:56:00,"Point Cloates","No-take","inNP.1",129,"NA","Yes","Yes"
