"sample","family","genus","species","length","range","number","mass.g","length.cm","campaignid","latitude","longitude","date.time","location","status","depth","successful.count","successful.length","id"
"10","Chaetodontidae","Heniochus","diphreutes",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.6887,113.5238,2021-05-20 04:02:57,"Point Cloates","No-take",176,"Yes","Yes","2021-05_PtCloates_BOSS.10"
"10","Cirrhitidae","Cyprinocirrhites","polyactis",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.6887,113.5238,2021-05-20 04:02:57,"Point Cloates","No-take",176,"Yes","Yes","2021-05_PtCloates_BOSS.10"
"10","Echeneidae","Echeneis","naucrates",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.6887,113.5238,2021-05-20 04:02:57,"Point Cloates","No-take",176,"Yes","Yes","2021-05_PtCloates_BOSS.10"
"10","Holocentridae","Sargocentron","rubrum",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.6887,113.5238,2021-05-20 04:02:57,"Point Cloates","No-take",176,"Yes","Yes","2021-05_PtCloates_BOSS.10"
"10","Labridae","Bodianus","bilunulatus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.6887,113.5238,2021-05-20 04:02:57,"Point Cloates","No-take",176,"Yes","Yes","2021-05_PtCloates_BOSS.10"
"10","Labridae","Bodianus","solatus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.6887,113.5238,2021-05-20 04:02:57,"Point Cloates","No-take",176,"Yes","Yes","2021-05_PtCloates_BOSS.10"
"10","Labridae","Coris","caudimacula",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.6887,113.5238,2021-05-20 04:02:57,"Point Cloates","No-take",176,"Yes","Yes","2021-05_PtCloates_BOSS.10"
"10","Labridae","Labroides","dimidiatus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.6887,113.5238,2021-05-20 04:02:57,"Point Cloates","No-take",176,"Yes","Yes","2021-05_PtCloates_BOSS.10"
"10","Labridae","Suezichthys","cyanolaemus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.6887,113.5238,2021-05-20 04:02:57,"Point Cloates","No-take",176,"Yes","Yes","2021-05_PtCloates_BOSS.10"
"10","Lethrinidae","Lethrinus","miniatus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.6887,113.5238,2021-05-20 04:02:57,"Point Cloates","No-take",176,"Yes","Yes","2021-05_PtCloates_BOSS.10"
"10","Lethrinidae","Lethrinus","ravus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.6887,113.5238,2021-05-20 04:02:57,"Point Cloates","No-take",176,"Yes","Yes","2021-05_PtCloates_BOSS.10"
"10","Lethrinidae","Lethrinus","rubrioperculatus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.6887,113.5238,2021-05-20 04:02:57,"Point Cloates","No-take",176,"Yes","Yes","2021-05_PtCloates_BOSS.10"
"10","Lutjanidae","Aphareus","rutilans",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.6887,113.5238,2021-05-20 04:02:57,"Point Cloates","No-take",176,"Yes","Yes","2021-05_PtCloates_BOSS.10"
"10","Lutjanidae","Lutjanus","lemniscatus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.6887,113.5238,2021-05-20 04:02:57,"Point Cloates","No-take",176,"Yes","Yes","2021-05_PtCloates_BOSS.10"
"10","Lutjanidae","Lutjanus","sebae",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.6887,113.5238,2021-05-20 04:02:57,"Point Cloates","No-take",176,"Yes","Yes","2021-05_PtCloates_BOSS.10"
"10","Microdesmidae","Ptereleotris","heteroptera",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.6887,113.5238,2021-05-20 04:02:57,"Point Cloates","No-take",176,"Yes","Yes","2021-05_PtCloates_BOSS.10"
"10","Mullidae","Parupeneus","cyclostomus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.6887,113.5238,2021-05-20 04:02:57,"Point Cloates","No-take",176,"Yes","Yes","2021-05_PtCloates_BOSS.10"
"10","Mullidae","Parupeneus","spilurus",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.6887,113.5238,2021-05-20 04:02:57,"Point Cloates","No-take",176,"Yes","Yes","2021-05_PtCloates_BOSS.10"
"10","Nemipteridae","Pentapodus","nagasakiensis",NA,NA,0,NA,NA,"2021-05_PtCloates_BOSS",-22.6887,113.5238,2021-05-20 04:02:57,"Point Cloates","No-take",176,"Yes","Yes","2021-05_PtCloates_BOSS.10"
