"campaignid","sample","family","genus","species","length","number","range"
"2021-05_PtCloates_BRUVS",15,"Lutjanidae","Pristipomoides","filamentosus",343.33918,1,2797.66854
"2021-05_PtCloates_BRUVS",15,"Lutjanidae","Pristipomoides","filamentosus",335.09926,1,3505.78997
"2021-05_PtCloates_BRUVS",15,"Lutjanidae","Pristipomoides","filamentosus",516.42248,1,2815.48876
"2021-05_PtCloates_BRUVS",15,"Lutjanidae","Pristipomoides","filamentosus",327.77567,1,1877.48013
"2021-05_PtCloates_BRUVS",15,"Lutjanidae","Pristipomoides","filamentosus",353.88264,1,1948.07846
"2021-05_PtCloates_BRUVS",15,"Lutjanidae","Pristipomoides","filamentosus",343.32716,1,3077.91707
"2021-05_PtCloates_BRUVS",15,"Lutjanidae","Pristipomoides","filamentosus",322.1754,1,2381.14848
"2021-05_PtCloates_BRUVS",15,"Lutjanidae","Pristipomoides","filamentosus",328.05412,1,2016.55988
"2021-05_PtCloates_BRUVS",15,"Lutjanidae","Pristipomoides","filamentosus",375.82231,1,3401.66872
"2021-05_PtCloates_BRUVS",15,"Lutjanidae","Pristipomoides","filamentosus",348.97099,1,3333.3653
"2021-05_PtCloates_BRUVS",15,"Lutjanidae","Pristipomoides","filamentosus",310.06136,1,2445.78372
"2021-05_PtCloates_BRUVS",15,"Lutjanidae","Pristipomoides","filamentosus",316.04655,1,2356.766
"2021-05_PtCloates_BRUVS",15,"Lutjanidae","Pristipomoides","filamentosus",341.96398,1,2150.23635
"2021-05_PtCloates_BRUVS",15,"Lutjanidae","Pristipomoides","filamentosus",330.94844,1,3850.19842
"2021-05_PtCloates_BRUVS",15,"Carcharhinidae","Hemitriakis","spp",750.65389,1,4943.34804
"2021-05_PtCloates_BRUVS",15,"Labridae","Choerodon","zamboangae",314.53452,1,3604.56062
"2021-05_PtCloates_BRUVS",15,"Lethrinidae","Gymnocranius","grandoculis",366.28668,1,1716.74403
"2021-05_PtCloates_BRUVS",15,"Lethrinidae","Gymnocranius","grandoculis",339.23729,1,1641.22539
"2021-05_PtCloates_BRUVS",15,"Lethrinidae","Gymnocranius","grandoculis",256.64952,1,1836.69236
"2021-05_PtCloates_BRUVS",15,"Lethrinidae","Gymnocranius","grandoculis",308.53695,1,2183.20062
"2021-05_PtCloates_BRUVS",15,"Lethrinidae","Gymnocranius","grandoculis",343.49245,1,2233.08687
"2021-05_PtCloates_BRUVS",15,"Labridae","Bodianus","solatus",280.491,1,3342.92494
"2021-05_PtCloates_BRUVS",15,"Carangidae","Carangoides","chrysophrys",441.45969,1,3218.82544
"2021-05_PtCloates_BRUVS",15,"Carangidae","Carangoides","chrysophrys",451.14785,1,2116.55034
"2021-05_PtCloates_BRUVS",15,"Carangidae","Carangoides","chrysophrys",439.66635,1,4069.99065
"2021-05_PtCloates_BRUVS",15,"Carangidae","Carangoides","chrysophrys",477.94292,1,2173.98331
"2021-05_PtCloates_BRUVS",15,"Lethrinidae","Lethrinus","miniatus",418.4172,1,1619.3581
"2021-05_PtCloates_BRUVS",15,"Lethrinidae","Lethrinus","miniatus",464.64651,1,1376.76737
"2021-05_PtCloates_BRUVS",15,"Lethrinidae","Lethrinus","miniatus",381.9903,1,1328.93323
"2021-05_PtCloates_BRUVS",15,"Lethrinidae","Lethrinus","miniatus",473.77806,1,1573.8767
"2021-05_PtCloates_BRUVS",15,"Lethrinidae","Lethrinus","miniatus",416.54291,1,1285.73738
"2021-05_PtCloates_BRUVS",17,"Lutjanidae","Pristipomoides","sp1",94.92891,1,2814.99297
"2021-05_PtCloates_BRUVS",17,"Lutjanidae","Pristipomoides","sp1",117.32013,1,2692.39316
"2021-05_PtCloates_BRUVS",17,"Lutjanidae","Pristipomoides","sp1",120.79016,1,3419.45345
"2021-05_PtCloates_BRUVS",17,"Labridae","Bodianus","izuensis",103.30558,1,937.64321
"2021-05_PtCloates_BRUVS",17,"Pinguipedidae","Parapercis","nebulosa",94.049,1,1970.09014
"2021-05_PtCloates_BRUVS",17,"Pinguipedidae","Parapercis","nebulosa",107.43167,1,2107.99218
"2021-05_PtCloates_BRUVS",17,"Nemipteridae","Pentapodus","nagasakiensis",37.02607,1,856.4639
"2021-05_PtCloates_BRUVS",17,"Lethrinidae","Gymnocranius","sp1",51.09923,1,1356.25172
"2021-05_PtCloates_BRUVS",17,"Lethrinidae","Gymnocranius","sp1",129.68218,1,2043.33845
"2021-05_PtCloates_BRUVS",17,"Serranidae","Epinephelus","areolatus",270.96459,1,2079.2098
"2021-05_PtCloates_BRUVS",17,"Nemipteridae","Pentapodus","spp",118.05943,1,1315.85924
"2021-05_PtCloates_BRUVS",17,"Lethrinidae","Lethrinus","miniatus",474.01728,1,1172.38569
"2021-05_PtCloates_BRUVS",17,"Lethrinidae","Lethrinus","miniatus",420.69216,1,1391.87955
"2021-05_PtCloates_BRUVS",17,"Labridae","Choerodon","zamboangae",269.16761,1,2549.5961
"2021-05_PtCloates_BRUVS",17,"Cirrhitidae","Cyprinocirrhites","polyactis",61.4039,1,905.16491
"2021-05_PtCloates_BRUVS",17,"Cirrhitidae","Cyprinocirrhites","polyactis",58.5989,1,921.55233
"2021-05_PtCloates_BRUVS",18,"Sparidae","Dentex","spp",154.64336,1,1947.62563
"2021-05_PtCloates_BRUVS",18,"Sparidae","Dentex","spp",178.43678,1,1390.02935
"2021-05_PtCloates_BRUVS",18,"Sparidae","Dentex","spp",159.41279,1,1396.33019
"2021-05_PtCloates_BRUVS",18,"Sparidae","Dentex","spp",163.40143,1,1296.6852
"2021-05_PtCloates_BRUVS",18,"Sparidae","Dentex","spp",171.90347,1,715.44251
"2021-05_PtCloates_BRUVS",18,"Sparidae","Dentex","spp",146.59725,1,1313.63033
"2021-05_PtCloates_BRUVS",18,"Sparidae","Dentex","spp",186.61483,1,1622.41088
"2021-05_PtCloates_BRUVS",18,"Sparidae","Dentex","spp",158.2845,1,1816.75746
"2021-05_PtCloates_BRUVS",18,"Sparidae","Dentex","spp",168.65569,1,2741.21131
"2021-05_PtCloates_BRUVS",18,"Sparidae","Dentex","spp",173.8957,1,1423.72234
"2021-05_PtCloates_BRUVS",18,"Sparidae","Dentex","spp",148.37434,1,1776.32291
"2021-05_PtCloates_BRUVS",18,"Sparidae","Dentex","spp",154.9848,1,2568.64064
"2021-05_PtCloates_BRUVS",18,"Sparidae","Dentex","spp",159.01519,1,1362.74267
