"campaignid","family","genus","species","mean.kg","max.kg","min.kg","min.length","mean.length","max.length"
"2021-05_PtCloates_BRUVS","Malacanthidae","Malacanthus","brevirostris",0.032,0.063,0.002,7.19,15.25,23.31
"2021-05_PtCloates_BRUVS","Labridae","Oxycheilinus","orientalis",0.029,0.062,0.004,6.36,11.28,16.23
"2022-05_PtCloates_stereo-BRUVS","Labridae","Oxycheilinus","orientalis",0.029,0.062,0.004,6.36,11.28,16.23
"2021-05_PtCloates_BRUVS","Nemipteridae","Nemipterus","spp",0.026,0.038,0.014,8.93,10.66,12.4
"2021-05_PtCloates_BRUVS","Nemipteridae","Pentapodus","nagasakiensis",0.023,0.182,0.001,3.7,10.69,23.66
"2021-05_PtCloates_BRUVS","Apogonidae","Unknown","spp",0.022,0.037,0.007,7.22,9.62,12.01
"2022-05_PtCloates_stereo-BRUVS","Apogonidae","Unknown","spp",0.022,0.037,0.007,7.22,9.62,12.01
"2022-05_PtCloates_stereo-BRUVS","Nemipteridae","Pentapodus","nagasakiensis",0.022,0.182,0.001,3.7,10.88,23.66
"2022-05_PtCloates_stereo-BRUVS","Carangidae","Unknown","sp10",0.018,0.018,0.018,10.13,10.13,10.13
"2021-05_PtCloates_BRUVS","Labridae","Bodianus","izuensis",0.015,0.015,0.015,10.33,10.33,10.33
"2022-05_PtCloates_stereo-BRUVS","Labridae","Bodianus","izuensis",0.015,0.015,0.015,10.33,10.33,10.33
"2022-05_PtCloates_stereo-BRUVS","Chaetodontidae","Chaetodon","assarius",0.014,0.014,0.014,8.42,8.42,8.42
"2021-05_PtCloates_BRUVS","Nemipteridae","Unknown","spp",0.013,0.013,0.013,8.8,8.8,8.8
"2022-05_PtCloates_stereo-BRUVS","Nemipteridae","Unknown","spp",0.013,0.013,0.013,8.8,8.8,8.8
"2022-05_PtCloates_stereo-BRUVS","Labridae","Choerodon","albofaciatus",0.012,0.026,0.005,6.82,9.16,12.1
"2021-05_PtCloates_BRUVS","Labridae","Choerodon","albofaciatus",0.011,0.018,0.005,6.82,8.76,10.69
