"campaignid","sample","family","genus","species"
"2022-05_PtCloates_stereo-BRUVS",37,"SUS","SUS","sus"
"2022-05_PtCloates_stereo-BRUVS",40,"SUS","SUS","sus"
"2022-05_PtCloates_stereo-BRUVS",40,"NA","Unknown","na"
"2022-05_PtCloates_stereo-BRUVS",40,"Lethrinidae","Gymnocranius","sp1"
"2022-05_PtCloates_stereo-BRUVS",41,"Lutjanidae","Pristipomoides","sp1"
"2022-05_PtCloates_stereo-BRUVS",43,"SUS","SUS","sus"
"2022-05_PtCloates_stereo-BRUVS",43,"NA","Unknown","na"
"2022-05_PtCloates_stereo-BRUVS",45,"NA","Unknown","na"
"2022-05_PtCloates_stereo-BRUVS",45,"SUS","SUS","sus"
"2022-05_PtCloates_stereo-BRUVS",46,"Unknown","Unknown","unknown"
"2022-05_PtCloates_stereo-BRUVS",47,"SUS","SUS","sus"
"2022-05_PtCloates_stereo-BRUVS",48,"SUS","SUS","sus"
"2022-05_PtCloates_stereo-BRUVS",5,"SUS","SUS","sus"
"2022-05_PtCloates_stereo-BRUVS",51,"Lethrinidae","Gymnocranius","sp1"
"2022-05_PtCloates_stereo-BRUVS",51,"Labridae","Unknown","na"
"2022-05_PtCloates_stereo-BRUVS",55,"Labridae","Choerodon","sp1"
"2022-05_PtCloates_stereo-BRUVS",56,"Lethrinidae","Gymnocranius","sp1"
"2022-05_PtCloates_stereo-BRUVS",57,"Lethrinidae","Gymnocranius","sp1"
"2022-05_PtCloates_stereo-BRUVS",57,"Unknown","Unknown","unknown"
"2022-05_PtCloates_stereo-BRUVS",6,"SUS","SUS","sus"
"2022-05_PtCloates_stereo-BRUVS",63,"SUS","SUS","sus"
"2022-05_PtCloates_stereo-BRUVS",64,"SUS","SUS","sus"
"2022-05_PtCloates_stereo-BRUVS",7,"Lethrinidae","Gymnocranius","sp1"
"2022-05_PtCloates_stereo-BRUVS",7,"SUS","SUS","sus"
"2022-05_PtCloates_stereo-BRUVS",7,"Lutjanidae","Pristipomoides","sp1"
"2022-05_PtCloates_stereo-BRUVS",9,"NA","Unknown","na"
"2022-05_PtCloates_stereo-BRUVS",9,"SUS","SUS","sus"
