"campaignid","sample","filename","periodtime","family","genus","species","maxn","latitude","longitude","date","time","location","status","site","depth","observer.count","successful.count","successful.length"
"2021-05_PtCloates_BRUVS","13","L037 (2).MP4","5.73545","Pinguipedidae","Parapercis","nebulosa",3,"-22.7963","113.5041","20210518","12:08","Point Cloates","Fished","outNP.1","116","Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS","13","L037 (4).MP4","41.93495","Serranidae","Epinephelus","rivulatus",1,"-22.7963","113.5041","20210518","12:08","Point Cloates","Fished","outNP.1","116","Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS","13","L037 (3).MP4","15.11454","SUS","SUS","SUS",1,"-22.7963","113.5041","20210518","12:08","Point Cloates","Fished","outNP.1","116","Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS","14","L027 (05).MP4","57.93121","Carangidae","Seriola","dumerili",4,"-22.7413","113.4991","20210519","8:48","Point Cloates","Fished","outNP.2","179","Gabby Cummins","Yes","Yes"
"2021-05_PtCloates_BRUVS","14","L027 (05).MP4","57.72100","Dasyatidae","Taeniurops","meyeni",1,"-22.7413","113.4991","20210519","8:48","Point Cloates","Fished","outNP.2","179","Gabby Cummins","Yes","Yes"
"2021-05_PtCloates_BRUVS","14","L027 (05).MP4","42.35620","Lethrinidae","Gymnocranius","sp1",1,"-22.7413","113.4991","20210519","8:48","Point Cloates","Fished","outNP.2","179","Gabby Cummins","Yes","Yes"
"2021-05_PtCloates_BRUVS","14","L027 (04).MP4","19.86763","Lutjanidae","Pristipomoides","sp1",1,"-22.7413","113.4991","20210519","8:48","Point Cloates","Fished","outNP.2","179","Gabby Cummins","Yes","Yes"
"2021-05_PtCloates_BRUVS","14","L027 (05).MP4","52.81193","Muraenidae","Gymnothorax","berndti",1,"-22.7413","113.4991","20210519","8:48","Point Cloates","Fished","outNP.2","179","Gabby Cummins","Yes","Yes"
"2021-05_PtCloates_BRUVS","14","L027 (03).MP4","0.62952","Rhinobatidae","Rhinobatos","sainsburyi",1,"-22.7413","113.4991","20210519","8:48","Point Cloates","Fished","outNP.2","179","Gabby Cummins","Yes","Yes"
"2021-05_PtCloates_BRUVS","14","L027 (04).MP4","18.66698","Sparidae","Chrysophrys","auratus",3,"-22.7413","113.4991","20210519","8:48","Point Cloates","Fished","outNP.2","179","Gabby Cummins","Yes","Yes"
"2021-05_PtCloates_BRUVS","14","L027 (03).MP4","15.50021","Triakidae","Hemitriakis","falcata",1,"-22.7413","113.4991","20210519","8:48","Point Cloates","Fished","outNP.2","179","Gabby Cummins","Yes","Yes"
"2021-05_PtCloates_BRUVS","15","L033 (5).MP4","43.00769","Carangidae","Carangoides","chrysophrys",4,"-22.7461","113.5138","20210518","12:40","Point Cloates","Fished","outNP.3","130","Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS","15","L033 (4).MP4","32.26751","Carcharhinidae","Hemitriakis","spp",2,"-22.7461","113.5138","20210518","12:40","Point Cloates","Fished","outNP.3","130","Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS","15","L033 (3).MP4","9.43943","Echeneidae","Echeneis","naucrates",1,"-22.7461","113.5138","20210518","12:40","Point Cloates","Fished","outNP.3","130","Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS","15","L033 (5).MP4","42.88673","Labridae","Bodianus","solatus",1,"-22.7461","113.5138","20210518","12:40","Point Cloates","Fished","outNP.3","130","Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS","15","L033 (4).MP4","34.30955","Labridae","Choerodon","zamboangae",1,"-22.7461","113.5138","20210518","12:40","Point Cloates","Fished","outNP.3","130","Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS","15","L033 (5).MP4","37.21023","Lethrinidae","Gymnocranius","grandoculis",5,"-22.7461","113.5138","20210518","12:40","Point Cloates","Fished","outNP.3","130","Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS","15","L033 (5).MP4","51.88656","Lethrinidae","Lethrinus","miniatus",5,"-22.7461","113.5138","20210518","12:40","Point Cloates","Fished","outNP.3","130","Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS","15","L033 (4).MP4","17.12961","Lutjanidae","Aprion","virescens",1,"-22.7461","113.5138","20210518","12:40","Point Cloates","Fished","outNP.3","130","Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS","15","L033 (3).MP4","4.65743","Lutjanidae","Lutjanus","sebae",2,"-22.7461","113.5138","20210518","12:40","Point Cloates","Fished","outNP.3","130","Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS","15","L033 (4).MP4","28.53795","Lutjanidae","Pristipomoides","filamentosus",19,"-22.7461","113.5138","20210518","12:40","Point Cloates","Fished","outNP.3","130","Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS","16","R042 (01).MP4","2.00395","Apogonidae","Apogon","spp",1,"-22.7812","113.5115","20210518","12:24","Point Cloates","Fished","outNP.4","111","Gabby Cummins","Yes","No"
"2021-05_PtCloates_BRUVS","16","R042 (01).MP4","9.30763","Labridae","Bodianus","solatus",1,"-22.7812","113.5115","20210518","12:24","Point Cloates","Fished","outNP.4","111","Gabby Cummins","Yes","No"
"2021-05_PtCloates_BRUVS","16","R042 (01).MP4","12.91846","Labridae","Choerodon","zamboangae",1,"-22.7812","113.5115","20210518","12:24","Point Cloates","Fished","outNP.4","111","Gabby Cummins","Yes","No"
"2021-05_PtCloates_BRUVS","16","R042 (02).MP4","16.48508","Lethrinidae","Gymnocranius","sp1",3,"-22.7812","113.5115","20210518","12:24","Point Cloates","Fished","outNP.4","111","Gabby Cummins","Yes","No"
"2021-05_PtCloates_BRUVS","16","R042 (03).MP4","41.49673","Lethrinidae","Lethrinus","miniatus",5,"-22.7812","113.5115","20210518","12:24","Point Cloates","Fished","outNP.4","111","Gabby Cummins","Yes","No"
"2021-05_PtCloates_BRUVS","16","R042 (03).MP4","52.27611","Lutjanidae","Pristipomoides","sp1",2,"-22.7812","113.5115","20210518","12:24","Point Cloates","Fished","outNP.4","111","Gabby Cummins","Yes","No"
"2021-05_PtCloates_BRUVS","16","R042 (01).MP4","10.53553","Nemipteridae","Pentapodus","spp",1,"-22.7812","113.5115","20210518","12:24","Point Cloates","Fished","outNP.4","111","Gabby Cummins","Yes","No"
"2021-05_PtCloates_BRUVS","16","R042 (01).MP4","7.91819","Pinguipedidae","Parapercis","nebulosa",2,"-22.7812","113.5115","20210518","12:24","Point Cloates","Fished","outNP.4","111","Gabby Cummins","Yes","No"
"2021-05_PtCloates_BRUVS","16","R042 (02).MP4","26.93830","Serranidae","Epinephelus","rivulatus",1,"-22.7812","113.5115","20210518","12:24","Point Cloates","Fished","outNP.4","111","Gabby Cummins","Yes","No"
"2021-05_PtCloates_BRUVS","16","R042 (01).MP4","1.54710","Serranidae","Pseudanthias","spp",1,"-22.7812","113.5115","20210518","12:24","Point Cloates","Fished","outNP.4","111","Gabby Cummins","Yes","No"
"2021-05_PtCloates_BRUVS","16","R042 (01).MP4","2.16661","SUS","SUS","SUS",1,"-22.7812","113.5115","20210518","12:24","Point Cloates","Fished","outNP.4","111","Gabby Cummins","Yes","No"
"2021-05_PtCloates_BRUVS","17","L027 (3).MP4","30.48851","Carangidae","Carangoides","chrysophrys",1,"-22.7757","113.5195","20210518","12:28","Point Cloates","Fished","outNP.5","104","Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS","17","L027 (2).MP4","4.70943","Carangidae","Decapterus","spp",13,"-22.7757","113.5195","20210518","12:28","Point Cloates","Fished","outNP.5","104","Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS","17","L027 (4).MP4","53.17451","Cirrhitidae","Cyprinocirrhites","polyactis",2,"-22.7757","113.5195","20210518","12:28","Point Cloates","Fished","outNP.5","104","Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS","17","L027 (3).MP4","9.80841","Labridae","Bodianus","izuensis",2,"-22.7757","113.5195","20210518","12:28","Point Cloates","Fished","outNP.5","104","Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS","17","L027 (3).MP4","16.69612","Labridae","Bodianus","solatus",1,"-22.7757","113.5195","20210518","12:28","Point Cloates","Fished","outNP.5","104","Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS","17","L027 (4).MP4","45.89224","Labridae","Choerodon","zamboangae",2,"-22.7757","113.5195","20210518","12:28","Point Cloates","Fished","outNP.5","104","Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS","17","L027 (2).MP4","7.17689","Lethrinidae","Gymnocranius","sp1",2,"-22.7757","113.5195","20210518","12:28","Point Cloates","Fished","outNP.5","104","Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS","17","L027 (3).MP4","30.86194","Lethrinidae","Lethrinus","miniatus",3,"-22.7757","113.5195","20210518","12:28","Point Cloates","Fished","outNP.5","104","Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS","17","L027 (2).MP4","2.53031","Lutjanidae","Pristipomoides","sp1",4,"-22.7757","113.5195","20210518","12:28","Point Cloates","Fished","outNP.5","104","Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS","17","L027 (2).MP4","6.46396","Nemipteridae","Pentapodus","nagasakiensis",1,"-22.7757","113.5195","20210518","12:28","Point Cloates","Fished","outNP.5","104","Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS","17","L027 (3).MP4","22.21330","Nemipteridae","Pentapodus","spp",1,"-22.7757","113.5195","20210518","12:28","Point Cloates","Fished","outNP.5","104","Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS","17","L027 (2).MP4","5.18740","Pinguipedidae","Parapercis","nebulosa",2,"-22.7757","113.5195","20210518","12:28","Point Cloates","Fished","outNP.5","104","Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS","17","L027 (3).MP4","11.24067","Serranidae","Epinephelus","areolatus",1,"-22.7757","113.5195","20210518","12:28","Point Cloates","Fished","outNP.5","104","Charlotte Aston","Yes","Yes"
"2021-05_PtCloates_BRUVS","18","L029 (05).MP4","42.06424","Carcharhinidae","Carcharhinus","plumbeus",1,"-22.7311","113.4913","20210519","8:40","Point Cloates","Fished","outNP.6","204","Gabby Cummins","Yes","Yes"
