campaignid,sample,longitude,latitude,
2021-03_West-Coast_BOSS,96,114.776,-34.0975,
2021-03_West-Coast_BOSS,97,114.842,-34.0872,
2021-03_West-Coast_BOSS,98,114.856,-34.1139,
2021-03_West-Coast_BOSS,99,114.916,-34.0555,
2021-03_West-Coast_BOSS,100,114.847,-34.0961,
2021-03_West-Coast_BOSS,101,114.782,-34.0917,
2021-03_West-Coast_BOSS,102,114.926,-34.1305,
2021-03_West-Coast_BOSS,103,114.774,-34.0866,
2021-03_West-Coast_BOSS,104,114.918,-34.1255,
2021-03_West-Coast_BOSS,105,114.76,-34.0534,
2021-03_West-Coast_BOSS,106,114.875,-34.1313,
2021-03_West-Coast_BOSS,107,114.94,-34.1347,
2021-03_West-Coast_BOSS,108,114.85,-34.1001,
2021-03_West-Coast_BOSS,109,114.741,-34.0839,
2021-03_West-Coast_BOSS,110,114.907,-34.0505,
2021-03_West-Coast_BOSS,111,114.812,-34.1035,
2021-03_West-Coast_BOSS,112,114.779,-34.0897,
2021-03_West-Coast_BOSS,113,114.78,-34.0809,
2021-03_West-Coast_BOSS,114,114.834,-34.0969,
2021-03_West-Coast_BOSS,115,114.774,-34.1013,
2021-03_West-Coast_BOSS,116,114.919,-34.1138,
2021-03_West-Coast_BOSS,117,114.76,-34.0681,
2021-03_West-Coast_BOSS,118,114.826,-34.0714,
2021-03_West-Coast_BOSS,119,114.771,-34.0634,
2021-03_West-Coast_BOSS,120,114.861,-34.0617,
2021-03_West-Coast_BOSS,121,114.853,-34.0836,
2021-03_West-Coast_BOSS,122,114.777,-34.0789,
2021-03_West-Coast_BOSS,123,114.785,-34.0614,
2021-03_West-Coast_BOSS,124,114.929,-34.1003,
2021-03_West-Coast_BOSS,125,114.847,-34.104,
2021-03_West-Coast_BOSS,126,114.87,-34.0912,
2021-03_West-Coast_BOSS,127,114.91,-34.0545,
2021-03_West-Coast_BOSS,128,114.823,-34.0694,
2021-03_West-Coast_BOSS,129,114.772,-34.0839,
2021-03_West-Coast_BOSS,130,114.83,-34.1213,
2021-03_West-Coast_BOSS,131,114.773,-34.0906,
2021-03_West-Coast_BOSS,132,114.808,-34.1162,
2021-03_West-Coast_BOSS,133,114.911,-34.075,
2021-03_West-Coast_BOSS,134,114.857,-34.0631,
2021-03_West-Coast_BOSS,135,114.77,-34.0516,
2021-03_West-Coast_BOSS,136,114.833,-34.0891,
2021-03_West-Coast_BOSS,137,114.877,-34.0854,
2021-03_West-Coast_BOSS,138,114.912,-34.119,
2021-03_West-Coast_BOSS,139,114.898,-34.0616,
2021-03_West-Coast_BOSS,140,114.882,-34.1163,
2021-03_West-Coast_BOSS,141,114.762,-34.1175,59
2021-03_West-Coast_BOSS,142,114.814,-34.0971,
2021-03_West-Coast_BOSS,143,114.776,-34.0833,
2021-03_West-Coast_BOSS,144,114.92,-34.1221,
2021-03_West-Coast_BOSS,145,114.732,-34.0891,60
2021-03_West-Coast_BOSS,146,114.79,-34.1099,
2021-03_West-Coast_BOSS,147,114.895,-34.0908,
2021-03_West-Coast_BOSS,148,114.925,-34.0518,
2021-03_West-Coast_BOSS,149,114.931,-34.1135,
2021-03_West-Coast_BOSS,150,114.917,-34.1,
2021-03_West-Coast_BOSS,Old Point,114.869122,-34.050194,
