"id","campaignid","sample","family","genus","species","length","range","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length"
"2021-05_Abrolhos_stereo-BRUVs.npz6.20","2021-05_Abrolhos_stereo-BRUVs","npz6.20","Labridae","Choerodon","rubescens",336.91902,2062.25401,-28.0736,113.4593,20210512,09:13:00,"NPZ6","No-take","npz6.21",50.4,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs.npz6.20","2021-05_Abrolhos_stereo-BRUVs","npz6.20","Labridae","Choerodon","rubescens",251.13499,1284.79624,-28.0736,113.4593,20210512,09:13:00,"NPZ6","No-take","npz6.21",50.4,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs.npz6.20","2021-05_Abrolhos_stereo-BRUVs","npz6.20","Lethrinidae","Lethrinus","miniatus",422.51928,1397.27988,-28.0736,113.4593,20210512,09:13:00,"NPZ6","No-take","npz6.21",50.4,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs.npz6.20","2021-05_Abrolhos_stereo-BRUVs","npz6.20","Lethrinidae","Lethrinus","miniatus",325.33232,1398.05301,-28.0736,113.4593,20210512,09:13:00,"NPZ6","No-take","npz6.21",50.4,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs.npz6.20","2021-05_Abrolhos_stereo-BRUVs","npz6.20","Lethrinidae","Lethrinus","miniatus",373.96972,1245.72397,-28.0736,113.4593,20210512,09:13:00,"NPZ6","No-take","npz6.21",50.4,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs.npz6.20","2021-05_Abrolhos_stereo-BRUVs","npz6.20","Lethrinidae","Lethrinus","miniatus",419.0732,2174.64558,-28.0736,113.4593,20210512,09:13:00,"NPZ6","No-take","npz6.21",50.4,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs.npz6.20","2021-05_Abrolhos_stereo-BRUVs","npz6.20","Lethrinidae","Lethrinus","nebulosus",686.08892,4562.17345,-28.0736,113.4593,20210512,09:13:00,"NPZ6","No-take","npz6.21",50.4,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs.npz6.20","2021-05_Abrolhos_stereo-BRUVs","npz6.20","Lethrinidae","Lethrinus","nebulosus",528.89089,1316.18143,-28.0736,113.4593,20210512,09:13:00,"NPZ6","No-take","npz6.21",50.4,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs.npz6.20","2021-05_Abrolhos_stereo-BRUVs","npz6.20","Lethrinidae","Lethrinus","nebulosus",626.32466,1542.32903,-28.0736,113.4593,20210512,09:13:00,"NPZ6","No-take","npz6.21",50.4,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs.npz6.21","2021-05_Abrolhos_stereo-BRUVs","npz6.21","Carcharhinidae","Carcharhinus","plumbeus",1185.30176,1290.1122,-28.0714,113.3992,20210512,10:54:00,"NPZ6","No-take","npz6.22",59.3,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs.npz6.21","2021-05_Abrolhos_stereo-BRUVs","npz6.21","Labridae","Choerodon","rubescens",393.73422,3424.43424,-28.0714,113.3992,20210512,10:54:00,"NPZ6","No-take","npz6.22",59.3,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs.npz6.21","2021-05_Abrolhos_stereo-BRUVs","npz6.21","Labridae","Choerodon","rubescens",473.84596,1419.59079,-28.0714,113.3992,20210512,10:54:00,"NPZ6","No-take","npz6.22",59.3,"Molly","Y","Y"
