"id","campaignid","sample","family","genus","species","length","number","range","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length"
"2021-05_Abrolhos_BOSS.npz6.10","2021-05_Abrolhos_BOSS","npz6.10","Labridae","Bodianus","solatus",NA,0,NA,-28.0798,113.3498,20210513,14:17:39,"NPZ6","No-take","npz6.10",151,"Claude","Y","Y"
"2021-05_Abrolhos_BOSS.npz6.10","2021-05_Abrolhos_BOSS","npz6.10","Labridae","Choerodon","rubescens",NA,0,NA,-28.0798,113.3498,20210513,14:17:39,"NPZ6","No-take","npz6.10",151,"Claude","Y","Y"
"2021-05_Abrolhos_BOSS.npz6.10","2021-05_Abrolhos_BOSS","npz6.10","Labridae","Coris","auricularis",NA,0,NA,-28.0798,113.3498,20210513,14:17:39,"NPZ6","No-take","npz6.10",151,"Claude","Y","Y"
"2021-05_Abrolhos_BOSS.npz6.10","2021-05_Abrolhos_BOSS","npz6.10","Labridae","Coris","caudimacula",NA,0,NA,-28.0798,113.3498,20210513,14:17:39,"NPZ6","No-take","npz6.10",151,"Claude","Y","Y"
"2021-05_Abrolhos_BOSS.npz6.10","2021-05_Abrolhos_BOSS","npz6.10","Labridae","Labroides","dimidiatus",NA,0,NA,-28.0798,113.3498,20210513,14:17:39,"NPZ6","No-take","npz6.10",151,"Claude","Y","Y"
"2021-05_Abrolhos_BOSS.npz6.10","2021-05_Abrolhos_BOSS","npz6.10","Labridae","Notolabrus","parilus",NA,0,NA,-28.0798,113.3498,20210513,14:17:39,"NPZ6","No-take","npz6.10",151,"Claude","Y","Y"
"2021-05_Abrolhos_BOSS.npz6.10","2021-05_Abrolhos_BOSS","npz6.10","Labridae","Pseudojuloides","elongatus",NA,0,NA,-28.0798,113.3498,20210513,14:17:39,"NPZ6","No-take","npz6.10",151,"Claude","Y","Y"
"2021-05_Abrolhos_BOSS.npz6.10","2021-05_Abrolhos_BOSS","npz6.10","Labridae","Suezichthys","cyanolaemus",NA,0,NA,-28.0798,113.3498,20210513,14:17:39,"NPZ6","No-take","npz6.10",151,"Claude","Y","Y"
"2021-05_Abrolhos_BOSS.npz6.10","2021-05_Abrolhos_BOSS","npz6.10","Labridae","Unknown","sp3",NA,0,NA,-28.0798,113.3498,20210513,14:17:39,"NPZ6","No-take","npz6.10",151,"Claude","Y","Y"
"2021-05_Abrolhos_BOSS.npz6.10","2021-05_Abrolhos_BOSS","npz6.10","Labridae","Unknown","spp",NA,0,NA,-28.0798,113.3498,20210513,14:17:39,"NPZ6","No-take","npz6.10",151,"Claude","Y","Y"
"2021-05_Abrolhos_BOSS.npz6.10","2021-05_Abrolhos_BOSS","npz6.10","Lethrinidae","Gymnocranius","spp",NA,0,NA,-28.0798,113.3498,20210513,14:17:39,"NPZ6","No-take","npz6.10",151,"Claude","Y","Y"
"2021-05_Abrolhos_BOSS.npz6.10","2021-05_Abrolhos_BOSS","npz6.10","Lethrinidae","Lethrinus","miniatus",NA,0,NA,-28.0798,113.3498,20210513,14:17:39,"NPZ6","No-take","npz6.10",151,"Claude","Y","Y"
"2021-05_Abrolhos_BOSS.npz6.10","2021-05_Abrolhos_BOSS","npz6.10","Lethrinidae","Lethrinus","nebulosus",NA,0,NA,-28.0798,113.3498,20210513,14:17:39,"NPZ6","No-take","npz6.10",151,"Claude","Y","Y"
"2021-05_Abrolhos_BOSS.npz6.10","2021-05_Abrolhos_BOSS","npz6.10","Lethrinidae","Lethrinus","spp",NA,0,NA,-28.0798,113.3498,20210513,14:17:39,"NPZ6","No-take","npz6.10",151,"Claude","Y","Y"
"2021-05_Abrolhos_BOSS.npz6.10","2021-05_Abrolhos_BOSS","npz6.10","Lethrinidae","Unknown","spp",NA,0,NA,-28.0798,113.3498,20210513,14:17:39,"NPZ6","No-take","npz6.10",151,"Claude","Y","Y"
"2021-05_Abrolhos_BOSS.npz6.10","2021-05_Abrolhos_BOSS","npz6.10","Lutjanidae","Lutjanus","sp10",NA,0,NA,-28.0798,113.3498,20210513,14:17:39,"NPZ6","No-take","npz6.10",151,"Claude","Y","Y"
"2021-05_Abrolhos_BOSS.npz6.10","2021-05_Abrolhos_BOSS","npz6.10","Monacanthidae","Eubalichthys","caeruleoguttatus",NA,0,NA,-28.0798,113.3498,20210513,14:17:39,"NPZ6","No-take","npz6.10",151,"Claude","Y","Y"
"2021-05_Abrolhos_BOSS.npz6.10","2021-05_Abrolhos_BOSS","npz6.10","Mullidae","Parupeneus","chrysopleuron",NA,0,NA,-28.0798,113.3498,20210513,14:17:39,"NPZ6","No-take","npz6.10",151,"Claude","Y","Y"
"2021-05_Abrolhos_BOSS.npz6.10","2021-05_Abrolhos_BOSS","npz6.10","Mullidae","Parupeneus","spilurus",NA,0,NA,-28.0798,113.3498,20210513,14:17:39,"NPZ6","No-take","npz6.10",151,"Claude","Y","Y"
"2021-05_Abrolhos_BOSS.npz6.10","2021-05_Abrolhos_BOSS","npz6.10","Nemipteridae","Pentapodus","nagasakiensis",NA,0,NA,-28.0798,113.3498,20210513,14:17:39,"NPZ6","No-take","npz6.10",151,"Claude","Y","Y"
"2021-05_Abrolhos_BOSS.npz6.10","2021-05_Abrolhos_BOSS","npz6.10","Ostraciidae","Unknown","spp",NA,0,NA,-28.0798,113.3498,20210513,14:17:39,"NPZ6","No-take","npz6.10",151,"Claude","Y","Y"
"2021-05_Abrolhos_BOSS.npz6.10","2021-05_Abrolhos_BOSS","npz6.10","Pempherididae","Pempheris","klunzingeri",NA,0,NA,-28.0798,113.3498,20210513,14:17:39,"NPZ6","No-take","npz6.10",151,"Claude","Y","Y"
"2021-05_Abrolhos_BOSS.npz6.10","2021-05_Abrolhos_BOSS","npz6.10","Pinguipedidae","Parapercis","spp",NA,0,NA,-28.0798,113.3498,20210513,14:17:39,"NPZ6","No-take","npz6.10",151,"Claude","Y","Y"
"2021-05_Abrolhos_BOSS.npz6.10","2021-05_Abrolhos_BOSS","npz6.10","Platycephalidae","Platycephalus","spp",NA,0,NA,-28.0798,113.3498,20210513,14:17:39,"NPZ6","No-take","npz6.10",151,"Claude","Y","Y"
