OpCode	PeriodIndex	Period	FilenameStart	FrameStart	TimeStart	FilenameEnd	FrameEnd	TimeEnd	HasEnd
20210308_0735-1537	40	39	20210308_0735-1537_TOP_0159.mp4	1950	449.54076	20210308_0735-1537_TOP_0160.mp4	2331	452.54070	1
20210308_0735-1537	41	140	20210308_0735-1537_TOP_0163.mp4	3108	461.25830	20210308_0735-1537_TOP_0164.mp4	3518	464.25824	1
20210308_0735-1537	42	10	20210308_0735-1537_TOP_0167.mp4	732	472.01126	20210308_0735-1537_TOP_0168.mp4	1138	475.01120	1
20210308_0735-1537	43	147	20210308_0735-1537_TOP_0171.mp4	10063	485.99301	20210308_0735-1537_TOP_0173.mp4	319	488.99295	1
20210308_0735-1537	44	23	20210308_0735-1537_TOP_0175.mp4	8746	497.01986	20210308_0735-1537_TOP_0176.mp4	9380	500.01980	1
20210309_0735-1530	0	Old Point	20210309_0735-1530_TOP_0001_0001.mp4	58339	16.22148	20210309_0735-1530_TOP_0001_0001.mp4	69128	19.22142	1
20210309_0735-1530	1	41	20210309_0735-1530_TOP_0002_0001.mp4	36790	30.22964	20210309_0735-1530_TOP_0002_0001.mp4	47579	33.22959	1
20210309_0735-1530	2	33	20210309_0735-1530_TOP_0003_0001.mp4	26344	47.32506	20210309_0735-1530_TOP_0003_0001.mp4	37133	50.32500	1
20210309_0735-1530	3	86	20210309_0735-1530_TOP_0003_0001.mp4	64881	58.04048	20210309_0735-1530_TOP_0004_0001.mp4	3742	61.04042	1
20210309_0735-1530	4	56	20210309_0735-1530_TOP_0004_0001.mp4	34918	69.70908	20210309_0735-1530_TOP_0004_0001.mp4	45707	72.70903	1
20210309_0735-1530	5	65	20210309_0735-1530_TOP_0005_0001.mp4	5712	81.58817	20210309_0735-1530_TOP_0005_0001.mp4	16501	84.58811	1
20210309_0735-1530	6	137	20210309_0735-1530_TOP_0005_0001.mp4	60967	96.95213	20210309_0735-1530_TOP_0005_0001.mp4	71756	99.95207	1
20210309_0735-1530	7	48	20210309_0735-1530_TOP_0006_0001.mp4	29028	108.07130	20210309_0735-1530_TOP_0006_0001.mp4	39817	111.07124	1
20210309_0735-1530	8	67	20210309_0735-1530_TOP_0006_0001.mp4	69017	119.19046	20210309_0735-1530_TOP_0007_0001.mp4	7878	122.19040	1
20210309_0735-1530	9	126	20210309_0735-1530_TOP_0007_0001.mp4	36008	130.01210	20210309_0735-1530_TOP_0007_0001.mp4	46797	133.01205	1
20210309_0735-1530	10	44	20210309_0735-1530_TOP_0008_0001.mp4	12045	143.34932	20210309_0735-1530_TOP_0008_0001.mp4	22834	146.34926	1
20210309_0735-1530	11	35	20210309_0735-1530_TOP_0008_0001.mp4	49486	153.76000	20210309_0735-1530_TOP_0008_0001.mp4	60275	156.75994	1
20210309_0735-1530	12	100	20210309_0735-1530_TOP_0009_0001.mp4	9485	162.63747	20210309_0735-1530_TOP_0009_0001.mp4	20274	165.63742	1
20210309_0735-1530	13	7	20210309_0735-1530_TOP_0009_0001.mp4	44250	172.30408	20210309_0735-1530_TOP_0009_0001.mp4	55039	175.30402	1
20210309_0735-1530	14	108	20210309_0735-1530_TOP_0010_0001.mp4	3648	181.01444	20210309_0735-1530_TOP_0010_0001.mp4	14437	184.01439	1
20210309_0735-1530	15	26	20210309_0735-1530_TOP_0010_0001.mp4	38538	190.71580	20210309_0735-1530_TOP_0010_0001.mp4	49327	193.71574	1
