"campaignid","sample","filename","periodtime","family","genus","species","maxn","latitude","longitude","date.time","location","status","depth","successful.count","successful.length","unique_id"
"2022-05_PtCloates_Naked-BOSS","203","20220519_BOTTOM_1_0008_0001.mp4","1.64108","Cirrhitidae","Cyprinocirrhites","polyactis",2,"-22.7548","113.55","2022-05-19T09:44:17+0800","Point Cloates","No-take","75.7","Yes","Yes","2022-05_PtCloates_Naked-BOSS_203"
"2022-05_PtCloates_Naked-BOSS","203","20220519_BOTTOM_1_0008_0001.mp4","1.72812","Nemipteridae","Pentapodus","nagasakiensis",5,"-22.7548","113.55","2022-05-19T09:44:17+0800","Point Cloates","No-take","75.7","Yes","Yes","2022-05_PtCloates_Naked-BOSS_203"
"2022-05_PtCloates_Naked-BOSS","203","20220519_BOTTOM_1_0008_0001.mp4","0.77160","SUS","SUS","SUS",1,"-22.7548","113.55","2022-05-19T09:44:17+0800","Point Cloates","No-take","75.7","Yes","Yes","2022-05_PtCloates_Naked-BOSS_203"
"2022-05_PtCloates_Naked-BOSS","203","20220519_BOTTOM_1_0008_0001.mp4","0.86948","Unknown","Unknown","Unknown",1,"-22.7548","113.55","2022-05-19T09:44:17+0800","Point Cloates","No-take","75.7","Yes","Yes","2022-05_PtCloates_Naked-BOSS_203"
"2022-05_PtCloates_Naked-BOSS","204","20220526_BOTTOM_3_0003_0001.mp4","2.97102","Lethrinidae","Gymnocranius","sp1",1,"-22.6911","113.5576","2022-05-26T15:07:11+0800","Point Cloates","No-take","85.8","Yes","Yes","2022-05_PtCloates_Naked-BOSS_204"
"2022-05_PtCloates_Naked-BOSS","207","20220519_BOTTOM_1_0009_0001.mp4","0.93232","Lethrinidae","Gymnocranius","sp1",5,"-22.7523","113.5552","2022-05-19T10:00:48+0800","Point Cloates","No-take","71.4","Yes","Yes","2022-05_PtCloates_Naked-BOSS_207"
"2022-05_PtCloates_Naked-BOSS","208","20220525_BOTTOM_3_0005_0001.mp4","0.67846","Lethrinidae","Gymnocranius","sp1",1,"-22.7252","113.5464","2022-05-25T12:23:31+0800","Point Cloates","No-take","89.2","Yes","Yes","2022-05_PtCloates_Naked-BOSS_208"
"2022-05_PtCloates_Naked-BOSS","208","20220525_BOTTOM_3_0005_0001.mp4","0.10844","Lethrinidae","Lethrinus","miniatus",1,"-22.7252","113.5464","2022-05-25T12:23:31+0800","Point Cloates","No-take","89.2","Yes","Yes","2022-05_PtCloates_Naked-BOSS_208"
"2022-05_PtCloates_Naked-BOSS","208","20220525_BOTTOM_3_0005_0001.mp4","0.75742","Lethrinidae","Lethrinus","rubrioperculatus",1,"-22.7252","113.5464","2022-05-25T12:23:31+0800","Point Cloates","No-take","89.2","Yes","Yes","2022-05_PtCloates_Naked-BOSS_208"
"2022-05_PtCloates_Naked-BOSS","208","20220525_BOTTOM_3_0005_0001.mp4","0.54944","Lutjanidae","Lutjanus","sebae",2,"-22.7252","113.5464","2022-05-25T12:23:31+0800","Point Cloates","No-take","89.2","Yes","Yes","2022-05_PtCloates_Naked-BOSS_208"
